ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd
JCR_FR,pre-OHT,calcite,carbonate,Paleosol Carbonate,this study,NA,East,42.64253,-106.76111,43.28333333333333,35.801373917666666,NaN,NaN,17.624319193333335,-6.9079999999999995,NaN,NaN,0.6008804431656007,1.68885270177001
JDFA_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.91442,-120.45413,NaN,37.7,37.2,38.2,9.04,NaN,NaN,NaN,NaN,NaN
JDFA_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.75523,-120.79012,NaN,36.5,36,37,11.43,NaN,NaN,NaN,NaN,NaN
JDFBB_E,pre-OHT,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.80418,-120.17293,NaN,37.5,35.5,39.5,8.51,NaN,NaN,NaN,NaN,NaN
JDFBB_E,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.712585000000004,-120.18727000000001,NaN,33,30.5,35.5,9.05,NaN,NaN,NaN,0.5091168824543147,NaN
JDFD_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.76262,-120.83568,NaN,34,33,35,11.06,NaN,NaN,NaN,0.09899494936611705,NaN
JDFF_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.79064,-120.803962,NaN,30.72,29.54,31.9,12.42,NaN,NaN,NaN,0.9313968005098575,NaN
JDFG_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.8576,-120.8574,NaN,28.5,27.5,29.5,14.45,NaN,NaN,NaN,0.3394112549695419,NaN
JDFHAY_E,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.772665714285715,-119.71724142857143,NaN,21.142857142857142,19.228571428571428,23.057142857142857,11.722857142857142,NaN,NaN,NaN,0.6919709600292555,NaN
JDFI_W,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,45.04097,-120.20097,NaN,21.5,20,23,12.79,NaN,NaN,NaN,0.5515432893255067,NaN
JDFI_W,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.786429999999996,-121.13274,NaN,21.5,18,25,13.895,NaN,NaN,NaN,1.6192745289171933,NaN
JDFTC_E,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.719478,-119.989668,NaN,29.099999999999998,27.9,30.3,8.498,NaN,NaN,NaN,0.2372129844675453,NaN
JDPK,NA,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,44.419931,-118.95755,NaN,20,18.5,21.5,19.233333333333334,-9.533333333333333,NaN,NaN,0.20816659994661282,0.15275252316519414
KC_IML,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.36866667,-112.5911667,NaN,12.399999999999999,NaN,NaN,12.85,-5.325,NaN,NaN,1.7785762095938806,1.335102992281869
KC_IML,pre-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.34286419962963,-112.60690744074074,NaN,39.61851851851852,NaN,NaN,13.481481481481481,-3.0037037037037035,NaN,NaN,1.2618780378214776,1.8404601183653633
KC_IML,NA,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.36866667,-112.5911667,NaN,16,NaN,NaN,14.3,-3.6,NaN,NaN,NaN,NaN
KC_RCU,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,45.011,-112.122,NaN,8.766666666666667,NaN,NaN,14.3,-0.7416666666666667,NaN,NaN,2.0189105973271824,1.5979227587268237
KC_SC,pre-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,44.33888888888889,NaN,NaN,13.133333333333333,-1.8944444444444444,NaN,NaN,0.8656857193611791,1.5470929939813391
KC_SCMIO,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,12.695833333333333,NaN,NaN,15.166666666666666,-2.6333333333333333,NaN,NaN,1.3860233064637137,1.1627423175277045
KC_SCMIO,NA,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,18.91111111111111,NaN,NaN,15.777777777777777,-3.911111111111111,NaN,NaN,1.3245544324203686,0.6411794687223781
KC_SCOLIGO,pre-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.73766667,-112.6533333,NaN,33.78936170212766,NaN,NaN,14.02659574468085,-2.467021276595745,NaN,NaN,1.4629426518459958,1.9968528661628235
KC_WHO,post-OHT,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.796,-113.2441667,NaN,14.5,NaN,NaN,15.766666666666667,-5.3,NaN,NaN,0.6350852961085881,0.8888194417315589
KC_WHO,NA,calcite,carbonate,Paleosol Carbonate,Kent-Corson 2006,NA,Central,44.796,-113.2441667,NaN,16.75,NaN,NaN,14.95,-5.783333333333333,NaN,NaN,0.6090976933136422,0.29268868558020256
KC10_LSC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Kent-Corson et al., 2010",NA,Central,44.74,-112.58,25.622222222222224,48,NaN,NaN,16.263945258445258,-3.434026862026862,NaN,NaN,1.0786848370960047,0.8221319054241896
KC10_USC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Kent-Corson et al., 2010",NA,Central,44.74,-112.58,31.8,46,NaN,NaN,12.049503339797457,-0.6705408317173023,NaN,NaN,0.060632279392329666,0.27186439722185124
KMEOC,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",NA,Central,44.7522,-112.58,12.897619047619047,40.5,40,41,15.914092336407554,-3.17060046113307,NaN,-8717.545078502415,2.22109877010062,0.7454041893608478
KUK21_NB,pre-OHT,kaolinite,clay,Altered ash,"Kukla et al., 2021",west,West,44.922,-120.432,NaN,47.6,44,51.2,12.685,NaN,NaN,NaN,0.19091883092036754,NaN
KUK21_NB,pre-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",west,West,44.927,-120.42766666666667,NaN,44.46666666666667,40.53333333333333,47.2,12.723333333333333,NaN,NaN,NaN,1.4114295353765751,NaN
KUK21_PH,pre-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",west,West,44.739066666666666,-120.32600000000001,NaN,36.00933333333333,34.01866666666667,37.20933333333333,13.299999999999999,NaN,NaN,NaN,1.1443962850091995,NaN
KUK21_TC,post-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.504,-119.622,NaN,13.754999999999999,13.032,14.7455,11.21,NaN,NaN,NaN,0.9899494936611668,NaN
KUK21_TC,pre-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.5816,-119.6328,NaN,29.478,28.674,30.073999999999998,11.406,NaN,NaN,NaN,1.999382404643994,NaN
KUK21_TC,NA,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.548,-119.629,NaN,25.9,25.6,26.02,12,NaN,NaN,NaN,NaN,NaN
KUK21_TK,NA,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.825,-119.734,NaN,23.5,22.3,24.7,13.48,NaN,NaN,NaN,NaN,NaN
LEWIS,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.43294722,-117.0412611,NaN,13,12,14,20.63095238095238,-7.7821428571428575,NaN,NaN,1.2172088209495173,0.34676923320689945
LEWISMOD,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.55068333,-119.488975,NaN,14,NaN,NaN,16.8,-7.2,NaN,NaN,NaN,NaN
LEWISMOD,NA,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.55068333,-119.488975,NaN,15.5,NaN,NaN,18.925,-7.2,NaN,NaN,NaN,NaN
MASC_E,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.47141333333333,-119.47391333333333,NaN,13.5,12,15,13.186666666666667,NaN,NaN,NaN,0.8463490217792343,NaN
MBBJ,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,13.9,NaN,NaN,14.475,-3.61,NaN,NaN,0.26162950903902327,0.3252691193458118
MBBJ,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,13.370000000000001,NaN,NaN,13.591,-4.046666666666667,NaN,NaN,0.411351431260425,0.2176579885967891
MBBJ,NA,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,45.7964,-111.472,NaN,15.65,NaN,NaN,13.665,-4.115,NaN,NaN,0.5969087032369357,0.32398559638765817
MC#2,pre-OHT,smectite,clay,Altered ash,this study,NA,Central,44.66952,-112.83551,10,36,35,45,9.14,NaN,NaN,NaN,NaN,NaN
