ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd,d18_scaled
HMNE12,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,42.4956,-102.7988,NaN,16.5,NaN,NaN,22.35,NaN,-107.125,NaN,1.4849242404917484,NaN,4.1202296004360095
HMNE13,pre-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.7,-103.3466,NaN,29.5,NaN,NaN,18.48,NaN,-116.22,NaN,NaN,NaN,0.733737860214668
HMNE3,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,42.8377,-100.5199,NaN,10.6,NaN,NaN,22.55,NaN,-105.54,NaN,NaN,NaN,2.3087893426601775
HMNE6,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.2522,-102.13,NaN,7.4,NaN,NaN,19.2975,NaN,-114.5025,NaN,0.4041761167280088,NaN,0.4774223274532092
HMNE7,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.4454,-102.983,NaN,7.75,NaN,NaN,22.53,NaN,-120.41,NaN,2.0364675298172563,NaN,4.462811238718655
HMNE8,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.1385,-101.678,NaN,7.6,NaN,NaN,20.18,NaN,-112.51,NaN,NaN,NaN,0.9609706417650914
HMNE9,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.1831,-103.0674,NaN,8.2,NaN,NaN,20.33,NaN,-114.16499999999999,NaN,1.35764501987817,NaN,2.3373057570197036
MNPCO,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,40.0813,-106.3725,NaN,11.625,NaN,NaN,15.265,NaN,-117.535,NaN,1.1313855811938445,NaN,0.18950756314323502
MNPCO,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,40.0813,-106.3725,NaN,18.335,NaN,NaN,13.5825,NaN,-113.872,NaN,1.0976066133992535,NaN,-1.492992436856766
SJ_A,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,41.5968,-103.1131,NaN,31.25,NaN,NaN,18.233333333333334,NaN,-101.5,NaN,1.0250203250017365,NaN,0.28097557715824184
SJ_B,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.05566666666667,-103.42216666666667,NaN,30.933333333333334,NaN,NaN,18.2,NaN,-99,NaN,1.2489995996796792,NaN,0.5204357563396735
SJ_B,NA,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,41.6991,-103.3415,NaN,21.9,NaN,NaN,19.7,NaN,-127,NaN,NaN,NaN,1.9492364142035905
SJ_C,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.4234,-103.7525,NaN,30.3,NaN,NaN,17.2,NaN,-93,NaN,NaN,NaN,-0.18799999549150126
SJ_C,NA,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.4234,-103.7525,NaN,21.5,NaN,NaN,17.05,NaN,-98.83333333333333,NaN,1.4989996664442595,NaN,-0.33799999549149984
SJ_D,post-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.55292,-107.5711,NaN,14.2,NaN,NaN,13.18,NaN,-112,NaN,1.458423806717375,NaN,-0.8375643606050245
SJ_D,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.75856666666667,-107.58030000000001,NaN,43.333333333333336,NaN,NaN,13.066666666666666,NaN,-123.33333333333333,NaN,1.9553345834749947,NaN,-0.9427774383889433
SJ_E,post-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.5848,-108.287,NaN,14.2,NaN,NaN,14.5,NaN,-116,NaN,NaN,NaN,1.1143150902448271
SJ_E,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.5848,-108.287,NaN,44.75,NaN,NaN,13.775,NaN,-106.25,NaN,2.604323328621084,NaN,0.38931509024482747
SJ_F,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.6386,-106.7545,NaN,35.65,NaN,NaN,14.108333333333334,NaN,-118.58333333333333,NaN,0.5333570070503406,NaN,-0.6299919709286028
SJ_G,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.7125,-105.371,NaN,31.25,NaN,NaN,14.7,NaN,-112,NaN,NaN,NaN,-1.2594528643272644
SJ_H,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.8181,-102.85713333333334,NaN,35.333333333333336,NaN,NaN,17.633333333333333,NaN,-103.66666666666667,NaN,1.0016652800877812,NaN,-0.5449499386529153
SJ_J,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,43.501,-108.58,NaN,48.74,NaN,NaN,15.26,NaN,NaN,NaN,0.5899152481501052,NaN,2.1329275767638967
SJ_K,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,43.8608,-102.8636,NaN,35.875,NaN,NaN,19.55,NaN,-100.33333333333333,NaN,0.8062257748298555,NaN,1.377424443870951
SJ_N,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,East,42.9194,-103.4913,NaN,34.5,NaN,NaN,16.9,NaN,-123,NaN,NaN,NaN,-0.7185446421767621
TTP,pre-OHT,smectite,clay,Altered ash,this study,NA,East,42.85398,-103.58286,2.15,33,32,34,17.28,NaN,NaN,NaN,NaN,NaN,-0.25773044673073553
