ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
DELLKM,KM130,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,22.9,40,NaN,NaN,19.28,-3.26,NaN,NaN,pre-OHT
DELLKM,KM131,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,23.9,40,NaN,NaN,18.77,-3.3066666666666666,NaN,NaN,pre-OHT
DELLKM,KM132,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,25.7,40,NaN,NaN,18.26,-3.73,NaN,NaN,pre-OHT
DELLKM,KM133,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,26,40,NaN,NaN,15.886666666666667,-4.903333333333333,NaN,NaN,pre-OHT
DELLKM,KM134,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,27.1,40,NaN,NaN,19.3675,-2.55,NaN,NaN,pre-OHT
DELLKM,KM135,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,28.7,40,NaN,NaN,15.116666666666667,-3.4033333333333333,NaN,NaN,pre-OHT
DELLKM,KM136,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,29.4,40,NaN,NaN,15.87,-4.46,NaN,NaN,pre-OHT
DELLKM,KM137,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,30,40,NaN,NaN,16.043333333333333,-4.42,NaN,NaN,pre-OHT
DELLKM,KM138,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,30.6,40,NaN,NaN,14.75,-1.21,NaN,NaN,pre-OHT
DELLKM,KM139,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,31.9,40,NaN,NaN,15.13,-1.7,NaN,NaN,pre-OHT
DELLKM,KM140,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,32.6,40,NaN,NaN,16.22,-4.53,NaN,NaN,pre-OHT
DELLKM,KM3,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,37.2,40,NaN,NaN,15.215,-3.925,NaN,NaN,pre-OHT
DELLKM,KM3 ,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,37.2,40,NaN,NaN,13.35,-3.83,NaN,NaN,pre-OHT
DELLKM,KM4,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,37,40,NaN,NaN,14.173333333333334,-3.13,NaN,NaN,pre-OHT
