ID,Number,Sample,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,Sample_Type,Material,Reference,dDprecip,d18Oprecip,Notes,More_notes,Other_data_type,Other_data_value,Event,Published_interpretation,Previously_published,West_Subdomain,Material_x,Domain,Filtered,Filtered_reason
TCM12,TCM97,ID-TC 09-07,42.1888,-112.1402,NA,6.7,NA,NA,10.62,-2.44,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM117,ID-TC 11-07,42.1888,-112.1402,NA,10,NA,NA,13.27,-3.73,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM127,ID-TC 12-07,42.1888,-112.1402,NA,10,NA,NA,14.55,-2.33,NA,Paleosol Carbonate,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM137,ID-TC 13-07,42.1888,-112.1402,NA,9.4,NA,NA,13.91,-2.7,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM147,ID-TC 14-07,42.1888,-112.1402,NA,9.3,NA,NA,13.21,-3.3,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM157,ID-TC 15-07,42.1888,-112.1402,NA,9.2,NA,NA,13.95,-3.74,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM167,ID-TC 16-07,42.1888,-112.1402,NA,8.6,NA,NA,11.38,-3.55,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM177,ID-TC 17-07,42.1888,-112.1402,NA,8.4,NA,NA,13.02,-3.81,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM187,ID-TC 18-07,42.1888,-112.1402,NA,7.5,NA,NA,14.62,-3.3,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM247,ID-TC 24-07,42.1888,-112.1402,NA,5.6,NA,NA,13.21,-4.86,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM257,ID-TC 25-07,42.1888,-112.1402,NA,5.3,NA,NA,11.89,-4.39,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
